平台,✅ 可直接联系,⚠️ 需人工核验,❌ 盲投会尴尬
1,Murtanio,178k,✅,德国摩托赛道 POV onboard 真人创作者，近 60 天更新，17.8w 甜点区，契合运动影像满分，盲投安全。
2,THE SHAIKH 96,79k,⚠️,印度摩托 POV 真人号，昨天刚更，但简介只有一个 gmail 邮箱，语义分偏低，规模定位需确认是否内容质量够品牌台面。
3,Schaaf,217k,⚠️,摩托 RAW onboard 收藏型频道，21.7w 契合度高，但最近更新 2026-02-07 已 150 天停更，需核验是否弃坑。
4,Ridge Lenny,125k,⚠️,夏威夷冲浪职业运动员，内容极契合，但最近更新 181 天前（2026-01），久未更新需核验活性。
5,Ella Berry,64k,⚠️,多项目极限运动女创作者，内容满分契合，但 last_upload 61 天前擦边过线，需确认更新节奏。
6,STR1KEStudioz,32k,❌,内容极契合（新西兰越野摩托 RAW），但简介明列 Insta360 X5 为器材且有 Sponsors 栏，已是影石用户/潜在合作方，发首次合作邀请会尴尬，应先内部查合作库。
7,RevLimits,149k,✅,印度电影感汽车/摩托 POV，昨天刚更，14.9w 甜点区，无叙述纯声音沉浸式，契合，盲投安全。
8,RUSH_ in Tokyo,20k,❌,东京摩托 POV，但简介顶格挂 Insta360 优惠码 INRPUTL + 全套影石器材清单，已是现役影石联盟/带码达人，发首次合作邀请必闹笑话（未被标为正例=正例集有漏）。
9,Surfing With Noz,235k,✅,悉尼冲浪创作者兼教练，23.5w，近 8 天更新，RAW POV 冲浪极契合，盲投安全。
10,Kai Noa,38k,✅,留尼汪/澳洲冲浪创作者，近 11 天更新，POV SURF 系列极契合运动影像，盲投安全。
11,Abe Kislevitz,169k,❌,简介明写 GoPro 员工 + 现任 GoPro 创意总监，竞品在职高管，绝不可发影石合作邀请；且最近更新 365 天前。
12,MOTO WILD,376k,❌,Moto Wild 是摩托事故/警察追逐合集号（compilation/reaction），非原创拍摄者，素材多为搬运他人 POV，盲投=向搬运号发邀请。
13,BRAAAPP - ONLY,13k,✅,摩托 RAW onboard 真人创作者，近 14 天更新，多机型 POV，契合，规模偏小但真实，盲投可接受。
14,Kzrunner,23k,⚠️,Kawasaki POV 夜骑纯声音真人号，近 14 天更新，简介提 Insta360（疑似已用影石），主题命中为空需核验契合与是否已带码。
15,Willy POV,49k,❌,Bodyboarding POV，但最近更新 2021-07-07（1826 天前），频道实质已死，盲投=向僵尸号发邀请。
16,Tina Cohen O'Brien 🟡正例,73k,❌,★已知影石正例（star）★ 夏威夷冲浪，本身是系统的对；但对已合作方发首次合作邀请=尴尬，且最近更新 334 天前（产后停更），双重不宜盲投。
17,CoffeeHouseRiders,20k,⚠️,加州 Royal Enfield 咖啡骑士 POV 真人号，契合，但最近更新 334 天前久未更新，需核验是否回归。
18,The Rice Rocketeer,5k,✅,纽约 Motovlog POV 真人叙事号，今天刚更，虽仅 5.7k 订阅偏小但成长性叙事清晰，甜点分低但真实契合，盲投可接受。
19,Scrambler POV,83k,✅,无对白第一视角摩托叙事，8.4w，近 9 天更新，主题命中密集，契合运动影像，盲投安全。
20,Dirk Schouten,462k,✅,保时捷 Carrera Cup 赛车冠军 POV onboard，46.2w，近 14 天更新，赛车运动影像契合，盲投安全。
21,Surf Vibes,33k,⚠️,巴西冲浪 POV，今天刚更，内容契合，但简介极简（葡语一句话）、语义分最低 0.45，需核验频道质量与语言市场是否目标区。
22,威爾森WilsonWKJ,6k,⚠️,台湾排球/冲浪 POV 运动摄影爱好者，内容契合，但最近更新 365 天前、明说更新极慢，需核验是否还活跃。
23,GoPro Bike,81k,❌,GoPro Bike 是 GoPro 官方赛事频道（竞品官方号），内容是 GoPro 赞助的 UCI 车手 POV，向竞品官方号发影石邀请=荒唐。
24,Brox_Rocks,22k,✅,攀岩 POV 创作者兼播客主持，近 30 天更新，Yosemite 攀岩第一视角契合极限运动影像，盲投可接受。
25,MotoVibes,34k,⚠️,欧洲摩旅团（含商业 tour 业务 motovibes.de），近更新，内容契合但本质是旅游生意号+已用 DJI 器材，需核验是想签创作者还是 B 端，属擦边商户。
26,Rizzylifts,6k,✅,德国夜骑 POV + 生活方式 vlog 真人号，近 6 天更新，摩托运动影像契合，规模偏小但真实，盲投可接受。
27,SAWAAR,12k,❌,内容多为餐厅后厨/上班 POV（送餐、炒菜），非运动影像；最近更新 365 天前；契合度实为误判，盲投尴尬。
28,Aidan Brown,11k,✅,夏威夷冲浪 RAW POV，近 7 天更新，内容极契合运动影像，规模偏小但真实，盲投可接受。
29,JohnOutdoorVideos,124k,✅,第一视角攀岩户外创作者，近 30 天更新，12.4w，真实攀岩 POV 契合，盲投安全。
30,TeapotOne,103k,✅,环球摩旅纪录者（74000 英里/54 国），10.3w，近 3 天更新，长途摩旅叙事契合运动/旅行影像，盲投安全。
31,Visordown Motorcycle Videos,161k,⚠️,Visordown 是摩托媒体机构频道（media outlet，非个人创作者），内容是测评新闻，16.1w；可做媒体投放但不是达人营销盲投对象，需按机构合作走。
32,onecutmedia (@rick_meloff),39k,⚠️,山地车/滑雪 360 VR 创作者，内容契合，但 last_upload 缺失无法判活性，data_coverage 不足，需核验最近是否更新。
33,Vivid Racing,108k,❌,Vivid Racing 是汽车性能改装件电商（performance products / vividracing.com），带货/器材商，向店铺发达人邀请=错位，且最近更新 212 天前。
34,Chris Clark,7k,⚠️,越野摩托/装备 GoPro POV 真人号，内容契合，但最近更新 122 天前、仅 7.7k 订阅，需核验活性与规模是否达标。
35,Kris Panji,29k,✅,印尼 Chopper 摩旅 POV 真人号，近 3 天更新，摩旅叙事契合，盲投可接受（语言市场为印尼，属可拓区）。
36,Jay Boogie POV,6k,❌,Bodyboarding POV，但 last_upload 缺失且置顶视频显示 2021 年内容，实质停更僵尸号，盲投尴尬。
37,Motorcycle Travel Channel,95k,✅,摩旅纪录长片创作者（Edelweiss 系列），9.5w，近 14 天更新，摩旅影像契合，pov 标记低但内容真实，盲投可接受。
38,Lali 🟡正例,114k,❌,★已知影石正例（midtail）★ 摩托科学家 motovlogger，是系统的对；但对已合作方发首次合作邀请=尴尬，应识别为存量合作方而非新线索。
39,Mojo,61k,✅,墨尔本摩托电影摄影师，6.1w，近 14 天更新，电影感摩旅影像高度契合品牌调性，盲投安全。
40,Bicycle Touring Pro,94k,✅,长途自行车旅行纪录（Bicycle Touring Pro），9.4w，近 3 天更新，骑行纪录片契合运动/旅行影像，盲投可接受。
41,Mamu Main Moto,9k,✅,马来西亚 Hayabusa 车队摩旅 vlog 真人号，近 2 天更新，摩旅影像契合，规模偏小但真实活跃，盲投可接受。
42,Capital City Flight Group,24k,❌,Capital City Flight Group 是飞行俱乐部机构号（Cessna 飞行 POV），内容是通航飞行不是消费级运动影像；机构非达人；最近更新 61 天，盲投错位。
43,tristantakevideo,85k,✅,Girona 公路车竞技创作者（TRAKA 200 等），8.5w，近 14 天更新，骑行竞技 POV 契合，盲投可接受。
44,James Ferrell,52k,⚠️,冲浪/bodysurf 创作者，内容极契合（Teahupoo/Wedge），但 last_upload 缺失无法判活性，data_coverage 不足需核验。
45,Alexis Righetti,111k,✅,极限山地车/陡坡滑雪创作者（Pic du Midi 等），11.1w，近 8 天更新，硬核极限运动影像契合，盲投安全。
46,Malcolm Moore,221k,⚠️,单板滑雪教学/POV 创作者（BASI 4 级教练），22.1w，内容契合，但最近更新 91 天前且偏教学向，需核验活性与内容形态。
47,RideWithRea 🟡正例,26k,❌,★已知影石正例（midtail）★ 且简介带 Insta360 affiliate 折扣码，是现役带码合作方；对其发首次合作邀请=双重尴尬，必须识别为存量。
48,Onboard European Snowboard Magazine,6k,❌,Onboard 欧洲滑雪杂志机构号，最近更新 2019-07-07（2557 天前），彻底停更的媒体僵尸号，盲投=向死号发邀请。
49,Moto with Cam,9k,⚠️,越野摩托竞赛 POV 真人号，内容契合，但最近更新 365 天前久未更新且仅 9.7k，需核验是否回归。
50,MOTOBLADE,27k,✅,Indian 摩托车深度体验创作者（商用飞行员车主），近 3 天更新，摩托测评+RAW onboard 契合，2.76w 真实活跃，盲投可接受。
1,TOP的遥控玩具FPV,83k,⚠️,穿越机 FPV 号，自称不专业 up。FPV 航拍 POV 与影石运动相机主战场（穿戴/手持运动影像）契合擦边，仅一条近视频无法判活性，需核验是否目标品类。
2,StoneFPV,8k,❌,FPV 穿越机花飞搬运/合集号，视频多为搬运他国飞手片段（andre/El Gringo/Franz 等外国名），非原创且属 FPV 擦边，甜点分极低 0.31，盲投错位。
3,菜腿小崔,154k,❌,★简介明写「运动相机影石Insta360」★ 川藏骑行狂热者，已是影石用户/疑似合作方，发首次合作邀请会尴尬，应先查合作库（正例集之外的漏网存量）。
4,大鹏快开车,731k,❌,大鹏快开车是电动车续航测评/汽车带货号（商务合作挂帅），73w 但内容是车评带货非运动影像，pov=0，盲投错位。
5,深蜗老才,9k,⚠️,深圳码农 FPV 飞手+无人机装调师，内容是穿越机搭建教学，FPV 擦边且偏器材教学，9k 规模，需核验是否品牌想要的运动影像达人。
6,ldjzcy,58k,❌,ldjzcy 简介明写「油管搬运，侵删」，是搬运号非原创创作者，盲投=向搬运号发邀请。
7,恐龙先生带娃camping,14k,⚠️,户外露营带娃号，内容含露营/无人机/恐龙模型混杂，运动影像契合度弱且杂，甜点分低 0.41，需核验主轴是否运动。
8,Ys秀一丶,234k,❌,Ys秀一丶 商务号，置顶「他没在玩游戏，他只是在炫技」疑似游戏/技巧向内容，found_terms 仅『第一视角』擦边，pov=0，运动影像契合存疑偏否，盲投尴尬。
9,郭泳君一摄影之道,24k,❌,郭泳君摄影之道是相机器材深度解析号（主玩 Lumix/Leica），器材测评类，与影石运动相机是竞品器材内容位，向器材评测号发达人邀请错位。
10,云雀智控SkyLark,1k,❌,云雀智控 SkyLark 是 FPV 穿越机/无人机系统研发智造公司（B 端硬件厂商，留手机号招商），非内容创作者，盲投=向厂商发达人邀请。
11,家晖,73k,⚠️,认真跑步/越野跑内容号，7.3w，越野跑与运动影像沾边但一条近视频难判，需核验是否 POV 拍摄+活性。
12,白头教士L,8k,❌,白头教士 L 自称『水下摄影搬运工』，自由潜内容多为搬运，且视频极短（16s/52s）偏碎片，甜点分低，盲投=向搬运号发邀请。
13,滑雪的大K,45k,⚠️,滑雪的大 K 职业滑雪教练，单板滑雪契合运动影像，4.5w，但内容偏教学、pov=0 且仅一条近视频，需核验是否 POV 运动影像形态。
14,高维实验室,170k,❌,高维实验室是灵性觉醒/身心疗愈/交易致富内容号（『永远不要设置止损』），与运动影像完全无关，纯误召回，盲投荒唐。
15,素雅精品安利,796,❌,素雅精品安利是带货种草号，置顶推 SJCAM 运动相机（竞品器材带货），本质是竞品/器材带货号，盲投=向卖竞品的带货号发邀请，尴尬至极。
16,白日梦疗愈所,13k,❌,白日梦疗愈所是 ASMR 助眠/视觉治愈号（粉扑敲击面部打理），与运动影像无关，found_terms『第一视角』误召回，盲投错位。
17,格温的录像机,88k,❌,格温的录像机是游戏直播代录/录播服务号（接全网录播代录，30/月），内容是电竞录播非原创运动影像，盲投荒唐。
18,-李好看-,32k,❌,-李好看- 是『正能量/外卖小哥』短视频号（第一视角日常摆拍向），与运动影像无关，甜点分中等但内容错位，盲投尴尬。
19,黑火漫推,200k,❌,黑火漫推是动漫/爽文推文号（『电子榨菜』，7 小时爽文），found_terms『山地车』纯误召回，与运动影像完全无关，盲投荒唐。
20,上迪美好一刻,63k,❌,上迪美好一刻是上海迪士尼游玩记录号（家人朋友乐园时光），found_terms『徒步』=绕迪士尼走路，非运动影像，盲投错位。
21,LoneRider独骑,7k,❌,LoneRider 独骑是法国摩托装备品牌官方号（打造骑手装备，私信招商），B 端品牌非创作者，且是装备厂商，盲投=向品牌方发达人邀请。
22,科猪kezhu,7k,✅,科猪 kezhu 单日长途骑行创作者（strava 实名，措普沟骑行 vlog），骑行运动影像契合，真人真实骑行内容，虽规模 7.5k 偏小但定位清晰，盲投可接受。
23,陈青doro,12k,⚠️,陈青 doro 西南骑行创作者，川藏骑行叙事契合，但简介杂（『梦想写小说』）、视频极短 36s、pov=0，需核验内容形态是否运动影像主轴。
24,国维玩户外,21k,✅,国维玩户外是综合户外玩家（徒步/登山/越野跑/骑行/健身），赛事丰富，户外运动影像契合，2.2w 真实活跃创作者，盲投可接受（近视频为装备但主轴是户外）。
25,鲁蛋爱摩旅,8k,✅,鲁蛋爱摩旅是摩旅环游中国真人创作者（骊驰 GW250 环游），摩旅影像契合，真实叙事，规模偏小但定位清晰，盲投可接受。
26,SpeedyBee快蜂科技,13k,❌,SpeedyBee 快蜂科技是 FPV 飞控/调参 App 硬件公司（让穿越机更简单，开发飞控 App），B 端硬件厂商非创作者，盲投=向厂商发邀请。
27,阿昌的摩旅日记,3k,✅,阿昌的摩旅日记是摩旅骑行创作者（318 川藏，沿途风光露营攻略），摩旅影像契合，虽仅 3.8k 极小但真人真实定位，盲投可接受（规模需品牌容忍度）。
28,玖捌fpv,16,❌,玖捌 fpv 是 FPV 穿越机号但订阅仅 16、甜点分 0.0005，实质空号/新号无影响力，盲投=向空号发邀请，尴尬。
29,湖北映像,56,❌,湖北映像是穿越机内容号但订阅仅 56、甜点分 0.003，实质空号无影响力，且 FPV 擦边，盲投无意义且尴尬。
30,老王安全骑,31k,⚠️,老王安全骑是骑行内容博主（环法解说 S3，公路车），有商务邮箱，骑行契合但近视频偏赛事解说而非 POV 拍摄，需核验是否原创运动影像达人。
停更/僵尸（last_upload 阈值）,✅ 完全可以,YT 有，Bilibili **缺 last_upload 字段**，得先补
已合作方/带码（关键词匹配）,✅ 可以,需要接入影石内部合作库 + 扩「影石/优惠码/ambassador」词典
品牌/厂商/店铺/搬运,✅ 大部分可以,现有简介文本足够，建一份「身份负面词典」即可
